ID,Тип учреждения,Номер,Количество учащихся,Район,Ссылка
edu,Школа,1,225,Авиастроительный,https://edu.tatar.ru/aviastroit/edu.tatar
page2189,Школа,37,1290,Авиастроительный,https://edu.tatar.ru/aviastroit/page2189.htm
lic_145,Школа,145,437,Авиастроительный,https://edu.tatar.ru/aviastroit/lic_145
page2201,Школа,168,180,Авиастроительный,https://edu.tatar.ru/aviastroit/page2201.htm
sch147,Школа,147,393,Авиастроительный,https://edu.tatar.ru/aviastroit/sch147
page2194,Школа,112,1160,Авиастроительный,https://edu.tatar.ru/aviastroit/page2194.htm
page2190,Школа,54,1130,Авиастроительный,https://edu.tatar.ru/aviastroit/page2190.htm
sch060,Школа,60,893,Авиастроительный,https://edu.tatar.ru/aviastroit/sch060
page2185,Школа,10,538,Авиастроительный,https://edu.tatar.ru/aviastroit/page2185.htm
avia_sch33,Школа,33,1540,Авиастроительный,https://edu.tatar.ru/aviastroit/avia_sch33
page2188,Школа,36,673,Авиастроительный,https://edu.tatar.ru/aviastroit/page2188.htm
page2196,Школа,117,813,Авиастроительный,https://edu.tatar.ru/aviastroit/page2196.htm
page2197,Школа,119,606,Авиастроительный,https://edu.tatar.ru/aviastroit/page2197.htm
page2193,Школа,77,1035,Авиастроительный,https://edu.tatar.ru/aviastroit/page2193.htm
sch062,Школа,62,1736,Авиастроительный,https://edu.tatar.ru/aviastroit/sch062
page2184,Школа,5,748,Авиастроительный,https://edu.tatar.ru/aviastroit/page2184.htm
page2212,Школа,1,597,Вахитовский,https://edu.tatar.ru/vahit/page2212.htm
page2213,Школа,1,292,Вахитовский,https://edu.tatar.ru/vahit/page2213.htm
page2214,Школа,3,677,Вахитовский,https://edu.tatar.ru/vahit/page2214.htm
page2219,Школа,12,784,Вахитовский,https://edu.tatar.ru/vahit/page2219.htm
page2221,Школа,13,478,Вахитовский,https://edu.tatar.ru/vahit/page2221.htm
page2222,Школа,14,254,Вахитовский,https://edu.tatar.ru/vahit/page2222.htm
eng18,Школа,18,1037,Вахитовский,https://edu.tatar.ru/vahit/eng18
page2224,Школа,27,746,Вахитовский,https://edu.tatar.ru/vahit/page2224.htm
